subject_id	trial	strategy	probability
93	8	0	1.8580744e-07
93	9	0	2.4189028e-08
93	10	0	3.2702034e-09
93	11	0	4.5460857e-10
93	12	0	6.5486803e-11
93	13	0	8.762172e-12
93	14	0	1.2587064e-12
93	15	0	1.5180899e-13
93	16	0	1.9408601e-14
93	17	0	2.6052114e-15
93	18	0	3.7429857e-16
93	19	0	4.553399e-17
93	20	0	5.8581212e-18
93	21	0	7.873582e-19
93	22	0	1.1086544e-19
93	23	0	1.78941e-20
93	24	0	4.856723e-21
94	0	0	0.027776351
94	1	0	0.003957491
94	2	0	0.00057221093
94	3	0	8.233327e-05
94	4	0	1.085059e-05
94	5	0	1.4785493e-06
94	6	0	2.0593917e-07
94	7	0	2.9081324e-08
94	8	0	4.1412607e-09
94	9	0	5.92732e-10
94	10	0	8.512646e-11
94	11	0	1.2282689e-11
94	12	0	1.7695191e-12
94	13	0	2.481751e-13
94	14	0	3.519821e-14
94	15	0	5.029141e-15
94	16	0	7.248265e-16
94	17	0	1.0268202e-16
94	18	0	1.4790658e-17
94	19	0	2.0539505e-18
94	20	0	2.901235e-19
94	21	0	4.1911865e-20
94	22	0	5.9014785e-21
94	23	0	9.525208e-22
94	24	0	2.5852822e-22
95	0	0	0.028157191
95	1	0	0.00406142
95	2	0	0.0005852503
95	3	0	8.2882594e-05
95	4	0	1.1839608e-05
95	5	0	1.7133368e-06
95	6	0	2.4896295e-07
95	7	0	3.5716663e-08
95	8	0	3.9889962e-09
95	9	0	4.775332e-10
95	10	0	6.064142e-11
95	11	0	8.052512e-12
95	12	0	1.1028486e-12
95	13	0	1.5410588e-13
95	14	0	2.1804903e-14
95	15	0	3.1087644e-15
95	16	0	4.45253e-16
95	17	0	6.395943e-17
95	18	0	9.218418e-18
95	19	0	1.3192266e-18
95	20	0	1.895072e-19
95	21	0	2.7404452e-20
95	22	0	4.0066117e-21
95	23	0	6.6259676e-22
95	24	0	1.8230713e-22
96	0	0	0.25388613
96	1	0	0.036597412
96	2	0	0.0052755196
96	3	0	0.0007604854
96	4	0	0.000109635504
96	5	0	1.5809544e-05
96	6	0	2.2814388e-06
96	7	0	3.298758e-07
96	8	0	4.7862667e-08
96	9	0	6.8889943e-09
