subject_id	sid_hash	phase	trial	house_type
1435	fef1f6	test	18	row
1435	fef1f6	test	19	column
1435	fef1f6	test	20	column
1435	fef1f6	test	21	column
1435	fef1f6	test	22	column
1435	fef1f6	test	23	row
1435	fef1f6	test	24	row
1435	fef1f6	test	25	column
1435	fef1f6	test	26	column
1435	fef1f6	test	27	column
1435	fef1f6	test	28	row
1435	fef1f6	test	29	row
1435	fef1f6	test	30	row
1435	fef1f6	test	31	row
1435	fef1f6	test	32	column
1435	fef1f6	test	33	row
1435	fef1f6	test	34	row
1435	fef1f6	test	35	row
1435	fef1f6	test	36	column
1435	fef1f6	test	37	column
1435	fef1f6	test	38	column
1435	fef1f6	test	39	column
1435	fef1f6	test	40	row
1435	fef1f6	test	41	column
1435	fef1f6	test	42	column
1435	fef1f6	test	43	row
1435	fef1f6	test	44	row
1435	fef1f6	test	45	row
1435	fef1f6	test	46	row
1435	fef1f6	test	47	column
1435	fef1f6	test	48	column
1435	fef1f6	test	49	row
1435	fef1f6	test	50	row
1435	fef1f6	test	51	row
1435	fef1f6	test	52	row
1435	fef1f6	test	53	column
1435	fef1f6	test	54	column
1435	fef1f6	test	55	column
1435	fef1f6	test	56	column
1435	fef1f6	test	57	column
1435	fef1f6	test	58	row
1435	fef1f6	test	59	row
1435	fef1f6	test	60	row
1435	fef1f6	test	61	row
1435	fef1f6	test	62	column
1435	fef1f6	test	63	column
1435	fef1f6	test	64	column
1436	038a4a	questionnaire	1	row
1436	038a4a	practice	1	row
1436	038a4a	practice	2	row
1436	038a4a	practice	3	row
1436	038a4a	practice	4	row
1436	038a4a	practice	5	row
1436	038a4a	practice	6	row
1436	038a4a	practice	7	row
1436	038a4a	practice	8	row
1436	038a4a	practice	9	row
1436	038a4a	practice	10	row
1436	038a4a	practice	11	row
1436	038a4a	practice	12	row
1436	038a4a	practice	13	row
1436	038a4a	practice	14	row
1436	038a4a	practice	15	row
1436	038a4a	practice	16	row
1436	038a4a	practice	17	row
1436	038a4a	practice	18	row
1436	038a4a	practice	19	row
1436	038a4a	practice	20	row
1436	038a4a	practice	21	row
1436	038a4a	practice	22	row
1436	038a4a	practice	23	row
1436	038a4a	practice	24	row
1436	038a4a	practice	25	row
1436	038a4a	test	1	column
1436	038a4a	test	2	row
1436	038a4a	test	3	row
1436	038a4a	test	4	column
1436	038a4a	test	5	row
1436	038a4a	test	6	column
1436	038a4a	test	7	column
1436	038a4a	test	8	row
1436	038a4a	test	9	row
1436	038a4a	test	10	row
1436	038a4a	test	11	column
1436	038a4a	test	12	row
1436	038a4a	test	13	column
1436	038a4a	test	14	column
1436	038a4a	test	15	row
1436	038a4a	test	16	column
1436	038a4a	test	17	row
1436	038a4a	test	18	column
1436	038a4a	test	19	row
1436	038a4a	test	20	row
1436	038a4a	test	21	column
1436	038a4a	test	22	row
1436	038a4a	test	23	column
1436	038a4a	test	24	column
1436	038a4a	test	25	row
1436	038a4a	test	26	column
1436	038a4a	test	27	row
1436	038a4a	test	28	column
1436	038a4a	test	29	column
1436	038a4a	test	30	row
1436	038a4a	test	31	column
1436	038a4a	test	32	row
1436	038a4a	test	33	column
1436	038a4a	test	34	row
1436	038a4a	test	35	column
1436	038a4a	test	36	row
1436	038a4a	test	37	row
1436	038a4a	test	38	column
1436	038a4a	test	39	row
1436	038a4a	test	40	column
1436	038a4a	test	41	column
1436	038a4a	test	42	row
1436	038a4a	test	43	column
1436	038a4a	test	44	column
1436	038a4a	test	45	row
1436	038a4a	test	46	column
1436	038a4a	test	47	row
1436	038a4a	test	48	row
1436	038a4a	test	49	column
1436	038a4a	test	50	column
1436	038a4a	test	51	row
1436	038a4a	test	52	column
1436	038a4a	test	53	row
1436	038a4a	test	54	row
1436	038a4a	test	55	column
1436	038a4a	test	56	row
1436	038a4a	test	57	row
1436	038a4a	test	58	column
1436	038a4a	test	59	column
1436	038a4a	test	60	row
1436	038a4a	test	61	column
1436	038a4a	test	62	row
1436	038a4a	test	63	row
1436	038a4a	test	64	column
1438	9ac645	questionnaire	1	row
1438	9ac645	practice	1	row
1438	9ac645	practice	2	row
1438	9ac645	practice	3	row
1438	9ac645	practice	4	row
1438	9ac645	practice	5	row
1438	9ac645	practice	6	row
1438	9ac645	practice	7	row
1438	9ac645	practice	8	row
1438	9ac645	practice	9	row
1438	9ac645	practice	10	row
1438	9ac645	practice	11	row
1438	9ac645	practice	12	row
1438	9ac645	practice	13	row
1438	9ac645	practice	14	row
1438	9ac645	practice	15	row
1438	9ac645	practice	16	row
1438	9ac645	practice	17	row
1438	9ac645	practice	18	row
1438	9ac645	practice	19	row
1438	9ac645	practice	20	row
1438	9ac645	practice	21	row
1438	9ac645	practice	22	row
1438	9ac645	practice	23	row
1438	9ac645	practice	24	row
1438	9ac645	practice	25	row
1438	9ac645	test	1	row
1438	9ac645	test	2	row
1438	9ac645	test	3	column
1438	9ac645	test	4	column
1438	9ac645	test	5	row
1438	9ac645	test	6	column
1438	9ac645	test	7	column
1438	9ac645	test	8	row
1438	9ac645	test	9	row
1438	9ac645	test	10	column
1438	9ac645	test	11	column
1438	9ac645	test	12	row
1438	9ac645	test	13	column
1438	9ac645	test	14	column
1438	9ac645	test	15	row
1438	9ac645	test	16	row
1438	9ac645	test	17	row
1438	9ac645	test	18	row
1438	9ac645	test	19	row
1438	9ac645	test	20	column
1438	9ac645	test	21	column
1438	9ac645	test	22	row
1438	9ac645	test	23	column
1438	9ac645	test	24	column
1438	9ac645	test	25	column
1438	9ac645	test	26	column
1438	9ac645	test	27	row
1438	9ac645	test	28	column
1438	9ac645	test	29	column
1438	9ac645	test	30	row
1438	9ac645	test	31	row
1438	9ac645	test	32	row
1438	9ac645	test	33	column
1438	9ac645	test	34	row
1438	9ac645	test	35	row
1438	9ac645	test	36	row
1438	9ac645	test	37	column
1438	9ac645	test	38	column
1438	9ac645	test	39	row
1438	9ac645	test	40	column
1438	9ac645	test	41	column
1438	9ac645	test	42	row
1438	9ac645	test	43	column
1438	9ac645	test	44	column
1438	9ac645	test	45	row
1438	9ac645	test	46	row
1438	9ac645	test	47	row
1438	9ac645	test	48	column
1438	9ac645	test	49	column
1438	9ac645	test	50	column
1438	9ac645	test	51	row
1438	9ac645	test	52	row
1438	9ac645	test	53	row
1438	9ac645	test	54	column
1438	9ac645	test	55	column
1438	9ac645	test	56	row
1438	9ac645	test	57	row
1438	9ac645	test	58	column
1438	9ac645	test	59	column
1438	9ac645	test	60	row
1438	9ac645	test	61	row
1438	9ac645	test	62	row
1438	9ac645	test	63	column
1438	9ac645	test	64	column
1448	f6ff94	questionnaire	1	column
1448	f6ff94	practice	1	column
1448	f6ff94	practice	2	column
1448	f6ff94	practice	3	column
