subject_id	sid_hash	phase	trial	house_type
81	7eda69	test	3	row
81	7eda69	test	4	row
81	7eda69	test	5	column
81	7eda69	test	6	row
81	7eda69	test	7	column
81	7eda69	test	8	column
81	7eda69	test	9	row
81	7eda69	test	10	row
81	7eda69	test	11	row
81	7eda69	test	12	column
81	7eda69	test	13	row
81	7eda69	test	14	column
81	7eda69	test	15	column
81	7eda69	test	16	column
81	7eda69	test	17	column
81	7eda69	test	18	column
81	7eda69	test	19	row
81	7eda69	test	20	row
81	7eda69	test	21	row
81	7eda69	test	22	column
81	7eda69	test	23	row
81	7eda69	test	24	column
81	7eda69	test	25	row
81	7eda69	test	26	row
81	7eda69	test	27	column
81	7eda69	test	28	row
81	7eda69	test	29	column
81	7eda69	test	30	column
81	7eda69	test	31	column
81	7eda69	test	32	row
81	7eda69	test	33	column
81	7eda69	test	34	column
81	7eda69	test	35	column
81	7eda69	test	36	row
81	7eda69	test	37	row
81	7eda69	test	38	row
81	7eda69	test	39	column
81	7eda69	test	40	row
81	7eda69	test	41	row
81	7eda69	test	42	column
81	7eda69	test	43	row
81	7eda69	test	44	column
81	7eda69	test	45	column
81	7eda69	test	46	column
81	7eda69	test	47	row
81	7eda69	test	48	row
81	7eda69	test	49	row
81	7eda69	test	50	column
81	7eda69	test	51	column
81	7eda69	test	52	column
81	7eda69	test	53	row
81	7eda69	test	54	row
81	7eda69	test	55	row
81	7eda69	test	56	column
81	7eda69	test	57	column
81	7eda69	test	58	row
81	7eda69	test	59	column
81	7eda69	test	60	column
81	7eda69	test	61	column
81	7eda69	test	62	row
81	7eda69	test	63	row
81	7eda69	test	64	row
82	c64038	practice	1	column
82	c64038	practice	2	column
82	c64038	practice	3	column
82	c64038	practice	4	column
82	c64038	practice	5	column
82	c64038	practice	6	column
82	c64038	practice	7	column
82	c64038	practice	8	column
82	c64038	practice	9	column
82	c64038	practice	10	column
82	c64038	practice	11	column
82	c64038	practice	12	column
82	c64038	practice	13	column
82	c64038	practice	14	column
82	c64038	practice	15	column
82	c64038	practice	16	column
82	c64038	practice	17	column
82	c64038	practice	18	column
82	c64038	practice	19	column
82	c64038	practice	20	column
82	c64038	practice	21	column
82	c64038	practice	22	column
82	c64038	practice	23	column
82	c64038	practice	24	column
82	c64038	practice	25	column
82	c64038	questionnaire	1	column
82	c64038	test	1	row
82	c64038	test	2	row
82	c64038	test	3	column
82	c64038	test	4	column
82	c64038	test	5	row
82	c64038	test	6	column
82	c64038	test	7	row
82	c64038	test	8	column
82	c64038	test	9	row
82	c64038	test	10	column
82	c64038	test	11	column
82	c64038	test	12	row
82	c64038	test	13	column
82	c64038	test	14	row
82	c64038	test	15	column
82	c64038	test	16	row
82	c64038	test	17	column
82	c64038	test	18	row
82	c64038	test	19	row
82	c64038	test	20	column
82	c64038	test	21	column
82	c64038	test	22	row
82	c64038	test	23	column
82	c64038	test	24	row
82	c64038	test	25	column
82	c64038	test	26	column
82	c64038	test	27	row
82	c64038	test	28	column
82	c64038	test	29	row
82	c64038	test	30	column
82	c64038	test	31	row
82	c64038	test	32	row
82	c64038	test	33	row
82	c64038	test	34	column
82	c64038	test	35	row
82	c64038	test	36	row
82	c64038	test	37	column
