subject_id	rank	probability
64	1	0.1375589
65	1	0.14033574
66	1	0.07850628
67	1	0.124734886
68	1	0.20917484
69	1	0.14541279
70	1	0.14166375
71	1	0.14955114
72	1	0.15384723
73	1	0.18512824
74	1	0.1448905
75	1	0.085057296
76	1	0.15438089
77	1	0.20498212
78	1	0.1167734
79	1	0.10709755
80	1	0.16558498
81	1	0.14382236
82	1	0.27529764
83	1	0.160106
84	1	0.18056852
85	1	0.16005474
86	1	0.16307276
87	1	0.12512925
88	1	0.13876717
1	2	0.032557003
2	2	0.032557003
3	2	0.032557003
4	2	0.032557003
5	2	0.032557003
6	2	0.032557003
7	2	0.032557003
8	2	0.032557003
9	2	0.032557003
10	2	0.032557003
11	2	0.032557003
12	2	0.032557003
13	2	0.11243315
14	2	0.103830755
15	2	0.103830755
16	2	0.11243315
17	2	0.1328909
18	2	0.14986809
19	2	0.089745276
20	2	0.06950437
21	2	0.10548478
22	2	0.10548478
23	2	0.03131633
24	2	0.03131633
25	2	0.11690861
26	2	0.03255541
27	2	0.15681693
28	2	0.16205615
29	2	0.032556072
30	2	0.16655345
31	2	0.1376432
32	2	0.11958426
33	2	0.032556627
34	2	0.032556847
35	2	0.03255697
36	2	0.0989018
37	2	0.032556985
38	2	0.0753895
39	2	0.11326187
40	2	0.062058516
41	2	0.12620664
42	2	0.13540524
43	2	0.105484635
44	2	0.11666909
45	2	0.040885407
46	2	0.123611175
47	2	0.1672326
48	2	0.10545278
49	2	0.03255689
50	2	0.10479472
51	2	0.031382177
52	2	0.16745931
53	2	0.09724749
54	2	0.10996939
55	2	0.14984429
56	2	0.095175564
57	2	0.064466715
58	2	0.075102076
59	2	0.06944066
60	2	0.08972988
61	2	0.029566897
62	2	0.0694784
63	2	0.112433024
64	2	0.10339518
65	2	0.10548233
66	2	0.031767186
67	2	0.09375607
68	2	0.16746272
69	2	0.13233957
70	2	0.10897038
71	2	0.0982665
72	2	0.062253505
73	2	0.07491126
74	2	0.06218014
75	2	0.061691284
76	2	0.11197109
77	2	0.08294499
78	2	0.10627498
79	2	0.097469084
80	2	0.087105475
81	2	0.08816604
82	2	0.11139784
83	2	0.089324266
84	2	0.10074052
85	2	0.116086334
86	2	0.12257245
87	2	0.11798351
88	2	0.104303285
1	3	0.013174027
2	3	0.013174027
3	3	0.013174027
4	3	0.013174027
5	3	0.013174027
6	3	0.013174027
7	3	0.013174027
8	3	0.013174027
9	3	0.013174027
10	3	0.013174027
11	3	0.013174027
12	3	0.013174027
13	3	0.084509574
14	3	0.094495945
15	3	0.094495945
16	3	0.084509574
17	3	0.059085667
