subject_id	trial	type	state	strategy	response
1	1	2	0.06766444	0.14758003	0.07462815
1	1	3	0.93136513	0.8473286	0.9219567
1	2	0	1.4649528e-13	0.00018803008	6.26767e-05
1	2	1	1.8046314e-05	0.0018196462	0.0012966665
1	2	2	0.027696714	0.113435864	0.0570421
1	2	3	0.9722853	0.8845566	0.94159865
1	3	0	2.1610218e-18	0.0001880787	6.26929e-05
1	3	1	3.3540041e-07	0.00090960006	0.0006899906
1	3	2	0.010968115	0.09911056	0.049727775
1	3	3	0.98903155	0.89979184	0.9495196
1	4	0	3.187819e-23	0.00018809772	6.269924e-05
1	4	1	6.2335914e-09	0.0005555426	0.00045396076
1	4	2	0.004336834	0.09343136	0.04682917
1	4	3	0.9956632	0.90582514	0.9526543
1	5	0	4.7025123e-28	0.00018810524	6.270175e-05
